id	label	model
798262	Political Hate	advanced-banglabert
866278	None	advanced-banglabert
210321	Political Hate	advanced-banglabert
363164	None	advanced-banglabert
370542	None	advanced-banglabert
132703	None	advanced-banglabert
601946	Abusive	advanced-banglabert
897150	None	advanced-banglabert
256376	None	advanced-banglabert
240015	None	advanced-banglabert
259547	Abusive	advanced-banglabert
67131	Political Hate	advanced-banglabert
923885	None	advanced-banglabert
226135	Abusive	advanced-banglabert
662300	None	advanced-banglabert
677456	Political Hate	advanced-banglabert
485008	Abusive	advanced-banglabert
529942	Profane	advanced-banglabert
914346	None	advanced-banglabert
298173	Abusive	advanced-banglabert
446809	None	advanced-banglabert
671424	None	advanced-banglabert
793955	Political Hate	advanced-banglabert
157776	Abusive	advanced-banglabert
283469	None	advanced-banglabert
206317	Abusive	advanced-banglabert
33066	None	advanced-banglabert
36214	Political Hate	advanced-banglabert
683112	None	advanced-banglabert
831416	Political Hate	advanced-banglabert
473865	Political Hate	advanced-banglabert
783655	Political Hate	advanced-banglabert
344565	None	advanced-banglabert
240377	None	advanced-banglabert
205517	None	advanced-banglabert
624990	None	advanced-banglabert
114646	Profane	advanced-banglabert
860260	Political Hate	advanced-banglabert
321233	Abusive	advanced-banglabert
287639	Political Hate	advanced-banglabert
698525	Sexism	advanced-banglabert
640865	None	advanced-banglabert
493551	None	advanced-banglabert
329369	None	advanced-banglabert
687000	Profane	advanced-banglabert
938515	None	advanced-banglabert
71327	Abusive	advanced-banglabert
82872	Abusive	advanced-banglabert
564549	Political Hate	advanced-banglabert
93050	None	advanced-banglabert
684599	None	advanced-banglabert
923214	None	advanced-banglabert
712666	None	advanced-banglabert
516447	None	advanced-banglabert
789503	None	advanced-banglabert
126197	Political Hate	advanced-banglabert
83510	None	advanced-banglabert
693378	None	advanced-banglabert
766830	None	advanced-banglabert
917369	Abusive	advanced-banglabert
140689	Profane	advanced-banglabert
828319	None	advanced-banglabert
441784	Abusive	advanced-banglabert
584069	Political Hate	advanced-banglabert
595722	None	advanced-banglabert
587975	Abusive	advanced-banglabert
737847	None	advanced-banglabert
355260	None	advanced-banglabert
208807	None	advanced-banglabert
698527	Sexism	advanced-banglabert
342704	None	advanced-banglabert
281083	None	advanced-banglabert
594110	Political Hate	advanced-banglabert
208175	Political Hate	advanced-banglabert
536181	Abusive	advanced-banglabert
562508	Abusive	advanced-banglabert
844368	Political Hate	advanced-banglabert
355570	Abusive	advanced-banglabert
576652	None	advanced-banglabert
230254	Political Hate	advanced-banglabert
396913	None	advanced-banglabert
160607	None	advanced-banglabert
775615	None	advanced-banglabert
634523	Political Hate	advanced-banglabert
313291	Abusive	advanced-banglabert
631046	Abusive	advanced-banglabert
550426	Political Hate	advanced-banglabert
807498	Abusive	advanced-banglabert
388081	None	advanced-banglabert
532701	None	advanced-banglabert
506934	None	advanced-banglabert
322440	None	advanced-banglabert
507780	None	advanced-banglabert
133106	Political Hate	advanced-banglabert
584019	Political Hate	advanced-banglabert
474793	None	advanced-banglabert
890928	None	advanced-banglabert
888703	None	advanced-banglabert
391227	None	advanced-banglabert
511127	None	advanced-banglabert
507374	Abusive	advanced-banglabert
680347	None	advanced-banglabert
63627	None	advanced-banglabert
903197	Abusive	advanced-banglabert
938868	None	advanced-banglabert
675732	None	advanced-banglabert
482546	None	advanced-banglabert
675440	None	advanced-banglabert
115168	None	advanced-banglabert
352533	Political Hate	advanced-banglabert
630861	Abusive	advanced-banglabert
768879	Abusive	advanced-banglabert
882539	None	advanced-banglabert
558518	Political Hate	advanced-banglabert
937312	None	advanced-banglabert
422059	Political Hate	advanced-banglabert
416662	None	advanced-banglabert
632696	Political Hate	advanced-banglabert
203962	None	advanced-banglabert
857709	None	advanced-banglabert
793617	Abusive	advanced-banglabert
486353	None	advanced-banglabert
635854	None	advanced-banglabert
84223	None	advanced-banglabert
150930	None	advanced-banglabert
156149	None	advanced-banglabert
772243	Political Hate	advanced-banglabert
644418	Abusive	advanced-banglabert
723392	Political Hate	advanced-banglabert
717266	None	advanced-banglabert
75367	Religious Hate	advanced-banglabert
398304	None	advanced-banglabert
350619	None	advanced-banglabert
633361	Abusive	advanced-banglabert
545400	None	advanced-banglabert
184710	Religious Hate	advanced-banglabert
126450	None	advanced-banglabert
157874	Abusive	advanced-banglabert
268695	None	advanced-banglabert
443262	Profane	advanced-banglabert
405050	Abusive	advanced-banglabert
475199	None	advanced-banglabert
909906	None	advanced-banglabert
619424	None	advanced-banglabert
338317	Political Hate	advanced-banglabert
208842	Abusive	advanced-banglabert
297713	Political Hate	advanced-banglabert
198549	Political Hate	advanced-banglabert
240451	None	advanced-banglabert
432313	None	advanced-banglabert
556009	Profane	advanced-banglabert
291078	None	advanced-banglabert
647866	Political Hate	advanced-banglabert
885374	None	advanced-banglabert
149363	None	advanced-banglabert
169573	None	advanced-banglabert
456507	Abusive	advanced-banglabert
589233	Political Hate	advanced-banglabert
112377	None	advanced-banglabert
831724	Abusive	advanced-banglabert
5407	None	advanced-banglabert
15943	Political Hate	advanced-banglabert
741246	None	advanced-banglabert
61405	None	advanced-banglabert
915869	None	advanced-banglabert
511267	None	advanced-banglabert
1471	None	advanced-banglabert
367605	Abusive	advanced-banglabert
174842	Abusive	advanced-banglabert
137391	None	advanced-banglabert
840729	None	advanced-banglabert
416127	Profane	advanced-banglabert
330333	Abusive	advanced-banglabert
670421	None	advanced-banglabert
242499	Abusive	advanced-banglabert
144117	None	advanced-banglabert
639424	Profane	advanced-banglabert
394368	Religious Hate	advanced-banglabert
291259	Abusive	advanced-banglabert
142509	None	advanced-banglabert
226408	Profane	advanced-banglabert
486351	None	advanced-banglabert
865343	None	advanced-banglabert
490548	Abusive	advanced-banglabert
430804	None	advanced-banglabert
292631	None	advanced-banglabert
399708	None	advanced-banglabert
62074	None	advanced-banglabert
277817	None	advanced-banglabert
451449	None	advanced-banglabert
937837	None	advanced-banglabert
69996	Political Hate	advanced-banglabert
472779	None	advanced-banglabert
593869	Political Hate	advanced-banglabert
113374	None	advanced-banglabert
295098	None	advanced-banglabert
688164	None	advanced-banglabert
754307	Religious Hate	advanced-banglabert
185344	Abusive	advanced-banglabert
206819	None	advanced-banglabert
776128	Abusive	advanced-banglabert
438265	None	advanced-banglabert
586064	None	advanced-banglabert
588534	Political Hate	advanced-banglabert
863686	None	advanced-banglabert
694501	Abusive	advanced-banglabert
97900	None	advanced-banglabert
166900	None	advanced-banglabert
109971	None	advanced-banglabert
497464	Abusive	advanced-banglabert
376477	None	advanced-banglabert
65718	None	advanced-banglabert
784043	Abusive	advanced-banglabert
702897	None	advanced-banglabert
352371	None	advanced-banglabert
52223	Political Hate	advanced-banglabert
131128	None	advanced-banglabert
13831	None	advanced-banglabert
148597	None	advanced-banglabert
60602	None	advanced-banglabert
752509	Political Hate	advanced-banglabert
730085	None	advanced-banglabert
625048	None	advanced-banglabert
541629	Abusive	advanced-banglabert
895206	Abusive	advanced-banglabert
725993	Political Hate	advanced-banglabert
296053	None	advanced-banglabert
240086	Abusive	advanced-banglabert
106374	Political Hate	advanced-banglabert
2358	None	advanced-banglabert
655996	None	advanced-banglabert
2640	Political Hate	advanced-banglabert
583695	Profane	advanced-banglabert
740126	Abusive	advanced-banglabert
116038	Abusive	advanced-banglabert
839438	None	advanced-banglabert
216777	None	advanced-banglabert
717153	None	advanced-banglabert
628314	None	advanced-banglabert
49560	Political Hate	advanced-banglabert
484546	None	advanced-banglabert
411292	Profane	advanced-banglabert
739397	Abusive	advanced-banglabert
33049	None	advanced-banglabert
234943	Abusive	advanced-banglabert
85567	None	advanced-banglabert
898840	None	advanced-banglabert
110149	Abusive	advanced-banglabert
928802	Profane	advanced-banglabert
65232	None	advanced-banglabert
609733	Abusive	advanced-banglabert
607110	None	advanced-banglabert
656146	None	advanced-banglabert
122819	None	advanced-banglabert
924773	Abusive	advanced-banglabert
855239	None	advanced-banglabert
455140	None	advanced-banglabert
172685	Political Hate	advanced-banglabert
705941	None	advanced-banglabert
317297	None	advanced-banglabert
637876	Political Hate	advanced-banglabert
198449	None	advanced-banglabert
822721	Profane	advanced-banglabert
347419	None	advanced-banglabert
503146	None	advanced-banglabert
601962	Profane	advanced-banglabert
847061	Profane	advanced-banglabert
449847	None	advanced-banglabert
266272	None	advanced-banglabert
579593	Abusive	advanced-banglabert
696370	None	advanced-banglabert
282600	None	advanced-banglabert
901656	None	advanced-banglabert
348015	None	advanced-banglabert
436616	None	advanced-banglabert
257730	Political Hate	advanced-banglabert
662170	None	advanced-banglabert
385756	Abusive	advanced-banglabert
359726	None	advanced-banglabert
660956	None	advanced-banglabert
767839	Sexism	advanced-banglabert
104694	None	advanced-banglabert
939708	Abusive	advanced-banglabert
918343	None	advanced-banglabert
169088	None	advanced-banglabert
559219	Political Hate	advanced-banglabert
313940	Profane	advanced-banglabert
156518	Abusive	advanced-banglabert
475465	Political Hate	advanced-banglabert
796521	None	advanced-banglabert
340667	None	advanced-banglabert
871730	None	advanced-banglabert
526989	Abusive	advanced-banglabert
2000	Profane	advanced-banglabert
770360	None	advanced-banglabert
97016	None	advanced-banglabert
759827	None	advanced-banglabert
121027	None	advanced-banglabert
398334	None	advanced-banglabert
88547	Abusive	advanced-banglabert
388063	Abusive	advanced-banglabert
584267	None	advanced-banglabert
199146	Political Hate	advanced-banglabert
862801	None	advanced-banglabert
663203	Political Hate	advanced-banglabert
384078	None	advanced-banglabert
674707	None	advanced-banglabert
248801	None	advanced-banglabert
434904	None	advanced-banglabert
892832	Political Hate	advanced-banglabert
849635	None	advanced-banglabert
357655	None	advanced-banglabert
38822	Abusive	advanced-banglabert
15868	None	advanced-banglabert
92875	Political Hate	advanced-banglabert
881948	None	advanced-banglabert
930602	None	advanced-banglabert
297212	None	advanced-banglabert
720687	None	advanced-banglabert
129760	Religious Hate	advanced-banglabert
195054	Political Hate	advanced-banglabert
109394	None	advanced-banglabert
869427	None	advanced-banglabert
916439	Profane	advanced-banglabert
137360	None	advanced-banglabert
617422	Abusive	advanced-banglabert
78119	Abusive	advanced-banglabert
723502	None	advanced-banglabert
478562	Abusive	advanced-banglabert
65211	Political Hate	advanced-banglabert
509559	None	advanced-banglabert
326033	Profane	advanced-banglabert
863542	Political Hate	advanced-banglabert
700913	Political Hate	advanced-banglabert
674516	None	advanced-banglabert
559600	Political Hate	advanced-banglabert
503290	None	advanced-banglabert
896878	None	advanced-banglabert
134107	None	advanced-banglabert
249718	None	advanced-banglabert
163349	None	advanced-banglabert
401513	None	advanced-banglabert
650595	Abusive	advanced-banglabert
752284	None	advanced-banglabert
865890	Abusive	advanced-banglabert
186435	None	advanced-banglabert
373339	None	advanced-banglabert
286709	None	advanced-banglabert
643016	None	advanced-banglabert
27134	None	advanced-banglabert
593062	None	advanced-banglabert
676443	None	advanced-banglabert
614707	None	advanced-banglabert
61510	Political Hate	advanced-banglabert
153559	None	advanced-banglabert
433441	None	advanced-banglabert
216305	Political Hate	advanced-banglabert
910124	None	advanced-banglabert
620809	Abusive	advanced-banglabert
932421	Abusive	advanced-banglabert
425270	Profane	advanced-banglabert
273781	None	advanced-banglabert
187613	Political Hate	advanced-banglabert
124364	None	advanced-banglabert
877298	Abusive	advanced-banglabert
605600	Political Hate	advanced-banglabert
349142	None	advanced-banglabert
780477	Abusive	advanced-banglabert
850714	Abusive	advanced-banglabert
182549	Political Hate	advanced-banglabert
591436	None	advanced-banglabert
532973	None	advanced-banglabert
254837	None	advanced-banglabert
570134	None	advanced-banglabert
600873	None	advanced-banglabert
897692	Profane	advanced-banglabert
145602	Profane	advanced-banglabert
674074	Political Hate	advanced-banglabert
617154	Abusive	advanced-banglabert
131424	None	advanced-banglabert
863095	None	advanced-banglabert
753046	Political Hate	advanced-banglabert
889442	None	advanced-banglabert
290088	Political Hate	advanced-banglabert
158006	None	advanced-banglabert
915317	None	advanced-banglabert
928884	Profane	advanced-banglabert
845497	Political Hate	advanced-banglabert
337012	None	advanced-banglabert
806329	None	advanced-banglabert
513110	None	advanced-banglabert
313334	None	advanced-banglabert
843096	Profane	advanced-banglabert
406040	None	advanced-banglabert
436473	None	advanced-banglabert
864150	None	advanced-banglabert
307617	Abusive	advanced-banglabert
486690	None	advanced-banglabert
197326	Political Hate	advanced-banglabert
295541	Political Hate	advanced-banglabert
264754	Abusive	advanced-banglabert
214178	None	advanced-banglabert
288143	None	advanced-banglabert
77822	Profane	advanced-banglabert
659471	Abusive	advanced-banglabert
441154	Religious Hate	advanced-banglabert
304049	Abusive	advanced-banglabert
635950	None	advanced-banglabert
863812	Profane	advanced-banglabert
642147	None	advanced-banglabert
206032	Political Hate	advanced-banglabert
936269	None	advanced-banglabert
87245	None	advanced-banglabert
831967	None	advanced-banglabert
773650	None	advanced-banglabert
578805	Profane	advanced-banglabert
54423	None	advanced-banglabert
187408	None	advanced-banglabert
446182	Abusive	advanced-banglabert
240952	Profane	advanced-banglabert
609430	Abusive	advanced-banglabert
32107	None	advanced-banglabert
257935	None	advanced-banglabert
823899	None	advanced-banglabert
685145	None	advanced-banglabert
398331	Political Hate	advanced-banglabert
153024	Political Hate	advanced-banglabert
175531	Profane	advanced-banglabert
446560	Profane	advanced-banglabert
418942	None	advanced-banglabert
594047	Abusive	advanced-banglabert
542787	None	advanced-banglabert
506353	Political Hate	advanced-banglabert
841821	None	advanced-banglabert
427816	Political Hate	advanced-banglabert
186081	Political Hate	advanced-banglabert
63181	None	advanced-banglabert
474439	None	advanced-banglabert
266781	Profane	advanced-banglabert
863333	None	advanced-banglabert
99308	None	advanced-banglabert
411516	Abusive	advanced-banglabert
917711	None	advanced-banglabert
297791	Abusive	advanced-banglabert
837511	Abusive	advanced-banglabert
516611	None	advanced-banglabert
361540	None	advanced-banglabert
289632	None	advanced-banglabert
557898	Abusive	advanced-banglabert
478098	None	advanced-banglabert
219774	None	advanced-banglabert
639571	Abusive	advanced-banglabert
458029	Profane	advanced-banglabert
26006	Profane	advanced-banglabert
615341	None	advanced-banglabert
365272	Abusive	advanced-banglabert
446152	Profane	advanced-banglabert
924516	None	advanced-banglabert
912732	None	advanced-banglabert
3376	None	advanced-banglabert
873206	None	advanced-banglabert
147620	None	advanced-banglabert
48729	None	advanced-banglabert
118706	Abusive	advanced-banglabert
496287	None	advanced-banglabert
633278	None	advanced-banglabert
556423	None	advanced-banglabert
192902	None	advanced-banglabert
750879	None	advanced-banglabert
715529	None	advanced-banglabert
134711	None	advanced-banglabert
660107	None	advanced-banglabert
437345	None	advanced-banglabert
214891	Political Hate	advanced-banglabert
900908	Abusive	advanced-banglabert
763719	None	advanced-banglabert
315444	Abusive	advanced-banglabert
455707	None	advanced-banglabert
290653	None	advanced-banglabert
691850	None	advanced-banglabert
318941	Profane	advanced-banglabert
182737	Political Hate	advanced-banglabert
285028	Political Hate	advanced-banglabert
904223	Abusive	advanced-banglabert
291039	None	advanced-banglabert
645637	None	advanced-banglabert
328958	None	advanced-banglabert
168539	None	advanced-banglabert
375694	None	advanced-banglabert
501348	Abusive	advanced-banglabert
30143	None	advanced-banglabert
565055	None	advanced-banglabert
481211	None	advanced-banglabert
8371	None	advanced-banglabert
757645	Abusive	advanced-banglabert
738411	Abusive	advanced-banglabert
767666	None	advanced-banglabert
261763	None	advanced-banglabert
351660	Profane	advanced-banglabert
476158	Political Hate	advanced-banglabert
865803	None	advanced-banglabert
111001	Political Hate	advanced-banglabert
61880	Abusive	advanced-banglabert
530551	None	advanced-banglabert
583453	None	advanced-banglabert
764722	None	advanced-banglabert
511997	Abusive	advanced-banglabert
884021	None	advanced-banglabert
434129	None	advanced-banglabert
318573	Sexism	advanced-banglabert
760589	Abusive	advanced-banglabert
804650	None	advanced-banglabert
528897	None	advanced-banglabert
716202	None	advanced-banglabert
670284	None	advanced-banglabert
869145	Political Hate	advanced-banglabert
565795	None	advanced-banglabert
801623	Abusive	advanced-banglabert
553622	None	advanced-banglabert
690373	None	advanced-banglabert
421996	None	advanced-banglabert
584595	None	advanced-banglabert
790924	None	advanced-banglabert
839704	Political Hate	advanced-banglabert
939459	Abusive	advanced-banglabert
533215	None	advanced-banglabert
72989	Political Hate	advanced-banglabert
577898	None	advanced-banglabert
912409	None	advanced-banglabert
53215	Profane	advanced-banglabert
475181	None	advanced-banglabert
220520	Political Hate	advanced-banglabert
773174	None	advanced-banglabert
758814	Profane	advanced-banglabert
606304	None	advanced-banglabert
500972	None	advanced-banglabert
685233	None	advanced-banglabert
475996	None	advanced-banglabert
741328	None	advanced-banglabert
236813	Political Hate	advanced-banglabert
250911	Abusive	advanced-banglabert
184353	Abusive	advanced-banglabert
502301	None	advanced-banglabert
104489	None	advanced-banglabert
744914	None	advanced-banglabert
446232	Abusive	advanced-banglabert
481561	Abusive	advanced-banglabert
191354	None	advanced-banglabert
900461	None	advanced-banglabert
415829	Abusive	advanced-banglabert
613833	Profane	advanced-banglabert
718306	Abusive	advanced-banglabert
496351	Abusive	advanced-banglabert
708366	None	advanced-banglabert
578669	None	advanced-banglabert
487410	None	advanced-banglabert
360171	None	advanced-banglabert
97036	Profane	advanced-banglabert
782954	Political Hate	advanced-banglabert
881673	Profane	advanced-banglabert
193131	Political Hate	advanced-banglabert
113089	None	advanced-banglabert
640459	None	advanced-banglabert
863300	Abusive	advanced-banglabert
166765	None	advanced-banglabert
465600	Political Hate	advanced-banglabert
524846	None	advanced-banglabert
377912	Political Hate	advanced-banglabert
647030	Abusive	advanced-banglabert
389642	Political Hate	advanced-banglabert
838786	None	advanced-banglabert
683189	Abusive	advanced-banglabert
44208	Abusive	advanced-banglabert
129258	None	advanced-banglabert
537879	Abusive	advanced-banglabert
828437	Political Hate	advanced-banglabert
910625	Abusive	advanced-banglabert
897725	Abusive	advanced-banglabert
129142	Abusive	advanced-banglabert
520734	None	advanced-banglabert
274405	Profane	advanced-banglabert
187223	Political Hate	advanced-banglabert
679398	Abusive	advanced-banglabert
843495	None	advanced-banglabert
888495	Abusive	advanced-banglabert
762390	Abusive	advanced-banglabert
385068	Political Hate	advanced-banglabert
668222	None	advanced-banglabert
555345	None	advanced-banglabert
427170	None	advanced-banglabert
358744	None	advanced-banglabert
175954	Abusive	advanced-banglabert
685817	None	advanced-banglabert
484759	Abusive	advanced-banglabert
395035	Political Hate	advanced-banglabert
176114	Abusive	advanced-banglabert
300739	None	advanced-banglabert
528625	None	advanced-banglabert
511158	None	advanced-banglabert
453505	Political Hate	advanced-banglabert
293969	Abusive	advanced-banglabert
647598	None	advanced-banglabert
553699	Political Hate	advanced-banglabert
95466	None	advanced-banglabert
835149	None	advanced-banglabert
748909	Abusive	advanced-banglabert
194226	Political Hate	advanced-banglabert
142118	None	advanced-banglabert
870702	Abusive	advanced-banglabert
364886	None	advanced-banglabert
112111	None	advanced-banglabert
899804	Abusive	advanced-banglabert
696989	None	advanced-banglabert
887716	None	advanced-banglabert
660186	None	advanced-banglabert
901036	None	advanced-banglabert
510168	None	advanced-banglabert
203599	Abusive	advanced-banglabert
423343	None	advanced-banglabert
83835	Abusive	advanced-banglabert
828482	None	advanced-banglabert
409288	Political Hate	advanced-banglabert
40340	None	advanced-banglabert
801215	None	advanced-banglabert
666047	None	advanced-banglabert
700821	None	advanced-banglabert
701993	None	advanced-banglabert
254382	None	advanced-banglabert
623669	Political Hate	advanced-banglabert
175843	Abusive	advanced-banglabert
400663	None	advanced-banglabert
468054	None	advanced-banglabert
610633	Political Hate	advanced-banglabert
620852	Abusive	advanced-banglabert
236927	Political Hate	advanced-banglabert
359516	Abusive	advanced-banglabert
863317	None	advanced-banglabert
590188	Abusive	advanced-banglabert
650314	None	advanced-banglabert
412701	Profane	advanced-banglabert
720266	None	advanced-banglabert
866888	None	advanced-banglabert
530041	None	advanced-banglabert
495166	None	advanced-banglabert
114148	Political Hate	advanced-banglabert
646106	Political Hate	advanced-banglabert
818634	Abusive	advanced-banglabert
489381	None	advanced-banglabert
366857	Abusive	advanced-banglabert
216109	None	advanced-banglabert
634558	Abusive	advanced-banglabert
250297	Political Hate	advanced-banglabert
21656	Religious Hate	advanced-banglabert
356050	Profane	advanced-banglabert
450240	None	advanced-banglabert
511964	None	advanced-banglabert
755491	None	advanced-banglabert
860563	Abusive	advanced-banglabert
550210	None	advanced-banglabert
914642	None	advanced-banglabert
